"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"NO000050540","BERGEN FLORIDA, NO","2021-01-19","0.00","0.8","36","39","36"
"NO000050540","BERGEN FLORIDA, NO","2021-01-20","0.50","0.8","38","42","29"
"NO000050540","BERGEN FLORIDA, NO","2021-01-21","0.19","0.0",,"49","39"
"NO000050540","BERGEN FLORIDA, NO","2021-01-22","1.52","0.0","39","45","37"
"NO000050540","BERGEN FLORIDA, NO","2021-01-23","0.14","0.0","37","40","35"
"NO000050540","BERGEN FLORIDA, NO","2021-01-24","0.00","0.0","34","40","32"
"NO000050540","BERGEN FLORIDA, NO","2021-01-25","0.09","0.0","29","35","24"
"NO000050540","BERGEN FLORIDA, NO","2021-01-26","0.01","0.4","30","34","27"
"NO000050540","BERGEN FLORIDA, NO","2021-01-27","0.00","0.4","24","32","21"
"NO000050540","BERGEN FLORIDA, NO","2021-01-28","0.05","0.4","25","30","18"
"NO000050540","BERGEN FLORIDA, NO","2021-01-29","0.02","0.4","29","33","24"
"NO000050540","BERGEN FLORIDA, NO","2021-01-30","0.13","0.8","31","34","29"
"NO000050540","BERGEN FLORIDA, NO","2021-01-31","0.22","2.8","30","33","29"
"NO000050540","BERGEN FLORIDA, NO","2021-02-01","0.00","6.7","23","33","18"
"NO000050540","BERGEN FLORIDA, NO","2021-02-02","0.00","5.5","23","32","18"
"NO000050540","BERGEN FLORIDA, NO","2021-02-03","0.00","5.5","20","30","16"
"NO000050540","BERGEN FLORIDA, NO","2021-02-04","0.03","3.5","21","29","13"
"NO000050540","BERGEN FLORIDA, NO","2021-02-05","0.00","5.1","21","32","14"
"NO000050540","BERGEN FLORIDA, NO","2021-02-06","0.00","5.1","20","31","14"
"NO000050540","BERGEN FLORIDA, NO","2021-02-07","0.00","5.1","19","31","12"
"NO000050540","BERGEN FLORIDA, NO","2021-02-08","0.00","5.1","22","30","14"
"NO000050540","BERGEN FLORIDA, NO","2021-02-09","0.00","3.9","22","28","20"
"NO000050540","BERGEN FLORIDA, NO","2021-02-10","0.00","3.9","16","32","11"
"NO000050540","BERGEN FLORIDA, NO","2021-02-11","0.00","3.9",,"32","19"
"NO000050540","BERGEN FLORIDA, NO","2021-02-12","0.00","3.9",,"31","11"
"NO000050540","BERGEN FLORIDA, NO","2021-02-13","0.00","3.9","27","34","12"
"NO000050540","BERGEN FLORIDA, NO","2021-02-14","0.00","3.5","35","39","22"
"NO000050540","BERGEN FLORIDA, NO","2021-02-15","0.01","3.5","38","44","36"
"NO000050540","BERGEN FLORIDA, NO","2021-02-16","0.09","2.8","40","47","34"
"NO000050540","BERGEN FLORIDA, NO","2021-02-17","0.13","0.0","40","45","38"
"NO000050540","BERGEN FLORIDA, NO","2021-02-18","0.05","0.0","45","49","35"
"NO000050540","BERGEN FLORIDA, NO","2021-02-19","0.50","0.0","42","49","39"
"NO000050540","BERGEN FLORIDA, NO","2021-02-20","0.80","0.0","50","49","42"
"NO000050540","BERGEN FLORIDA, NO","2021-02-21","0.00","0.0","48","53","45"
"NO000050540","BERGEN FLORIDA, NO","2021-02-22","0.86","0.0","46","50","44"
"NO000050540","BERGEN FLORIDA, NO","2021-02-23","1.06","0.0","45","51","40"
"NO000050540","BERGEN FLORIDA, NO","2021-02-24","0.18","0.0","47","52","45"
"NO000050540","BERGEN FLORIDA, NO","2021-02-25","0.54","0.0","45","48","43"
"NO000050540","BERGEN FLORIDA, NO","2021-02-26","0.17","0.0","44","47","43"
"NO000050540","BERGEN FLORIDA, NO","2021-02-27","0.09","0.0","44","45","43"
"NO000050540","BERGEN FLORIDA, NO","2021-02-28","0.01","0.0","44","49","42"
"NO000050540","BERGEN FLORIDA, NO","2021-03-01","0.22","0.0","42","45","41"
"NO000050540","BERGEN FLORIDA, NO","2021-03-02","0.00","0.0","43","46","42"
"NO000050540","BERGEN FLORIDA, NO","2021-03-03","0.00","0.0","41","47","38"
"NO000050540","BERGEN FLORIDA, NO","2021-03-04","0.01","0.0","36","43","32"
"NO000050540","BERGEN FLORIDA, NO","2021-03-05","0.17","0.0","35","39","30"
"NO000050540","BERGEN FLORIDA, NO","2021-03-06","0.22","0.0","40","45","35"
"NO000050540","BERGEN FLORIDA, NO","2021-03-07","0.00","0.0","36","42","34"
"NO000050540","BERGEN FLORIDA, NO","2021-03-08","0.00","0.0","35","42","27"
"NO000050540","BERGEN FLORIDA, NO","2021-03-09","0.00","0.0","37","45","31"
"NO000050540","BERGEN FLORIDA, NO","2021-03-10","0.24","0.0","40","43","34"
"NO000050540","BERGEN FLORIDA, NO","2021-03-11","0.65","0.0","42","45","40"
"NO000050540","BERGEN FLORIDA, NO","2021-03-12","0.57","0.0","40","43","39"
"NO000050540","BERGEN FLORIDA, NO","2021-03-13","0.81","0.0","38","40","34"
"NO000050540","BERGEN FLORIDA, NO","2021-03-14","0.50","0.0","39","41","34"
"NO000050540","BERGEN FLORIDA, NO","2021-03-15","0.00","0.0","39","50","31"
"NO000050540","BERGEN FLORIDA, NO","2021-03-16","0.00","0.0","38","47","30"
"NO000050540","BERGEN FLORIDA, NO","2021-03-17","0.00","0.0","38","48","33"
"NO000050540","BERGEN FLORIDA, NO","2021-03-18","0.00","0.0","40","49","36"
"NO000050540","BERGEN FLORIDA, NO","2021-03-19","0.06","0.0","40","48","33"
"NO000050540","BERGEN FLORIDA, NO","2021-03-20","0.30","0.0","42","46","39"
"NO000050540","BERGEN FLORIDA, NO","2021-03-21","0.09","0.0","40","47","38"
"NO000050540","BERGEN FLORIDA, NO","2021-03-22","0.46","0.0","43","46","37"
"NO000050540","BERGEN FLORIDA, NO","2021-03-23","0.19","0.0","45","49","43"
"NO000050540","BERGEN FLORIDA, NO","2021-03-24","0.43","0.0","44","50","40"
"NO000050540","BERGEN FLORIDA, NO","2021-03-25","0.33","0.0","44","46","39"
"NO000050540","BERGEN FLORIDA, NO","2021-03-26","0.73","0.0","45","49","43"
"NO000050540","BERGEN FLORIDA, NO","2021-03-27","0.02","0.0","42","47","39"
"NO000050540","BERGEN FLORIDA, NO","2021-03-28","0.56","0.0","43","47","39"
"NO000050540","BERGEN FLORIDA, NO","2021-03-29","0.33","0.0","47","53","42"
"NO000050540","BERGEN FLORIDA, NO","2021-03-30","1.74","0.0","47","48","43"
"NO000050540","BERGEN FLORIDA, NO","2021-03-31","0.00","0.0","43","49","40"
"NO000050540","BERGEN FLORIDA, NO","2021-04-01","0.06","0.0","41","50","33"
"NO000050540","BERGEN FLORIDA, NO","2021-04-02","0.00","0.0","42","50","40"
"NO000050540","BERGEN FLORIDA, NO","2021-04-03","0.03","0.0","42","48","35"
"NO000050540","BERGEN FLORIDA, NO","2021-04-04","0.98","0.0","40","45","34"
"NO000050540","BERGEN FLORIDA, NO","2021-04-05","0.29","1.2","34","43","27"
"NO000050540","BERGEN FLORIDA, NO","2021-04-06","0.11","0.8","36","43","32"
"NO000050540","BERGEN FLORIDA, NO","2021-04-07","0.04","0.4","38","44","35"
"NO000050540","BERGEN FLORIDA, NO","2021-04-08","0.91","0.4","35","43","31"
"NO000050540","BERGEN FLORIDA, NO","2021-04-09","0.36","0.0","38","45","34"
"NO000050540","BERGEN FLORIDA, NO","2021-04-10","0.11","1.2","37","45","33"
"NO000050540","BERGEN FLORIDA, NO","2021-04-11","0.00","0.0","39","47","30"
"NO000050540","BERGEN FLORIDA, NO","2021-04-12","0.00","0.0","44","52","39"
"NO000050540","BERGEN FLORIDA, NO","2021-04-13","0.04","0.0","41","49","36"
