"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-01","4.9",,,"8.7","-1.4"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-02","2.6",,,"9.2","6.9"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-03","12.8",,,"7.5","0.8"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-04","8.5",,,"4.8","1.6"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-05","0.0",,,"3.1","1.3"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-06","0.2",,,"2.2","-3.0"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-07","2.4",,,"4.4","1.2"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-08","1.8",,,"4.6","1.0"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-09","0.0",,,"3.3","-0.9"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-10","4.4",,,"5.2","0.5"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-11","8.3",,,"6.0","4.3"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-12","11.5",,,"8.8","4.6"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-13","4.4",,,"8.9","7.4"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-14","0.0",,,"9.0","1.9"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-15","7.2",,,"4.1","-1.3"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-16","12.1",,,"6.2","2.6"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-17","3.4",,,"4.9","0.2"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-18","9.5",,,"5.9","1.7"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-19","12.3",,,"7.0","-2.3"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-20","4.2",,,"0.9","-3.0"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-21","6.9",,,"4.0","-0.6"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-22","11.1",,,"6.9","3.5"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-23","4.3",,,"7.3","6.2"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-24","7.6",,,"7.0","3.2"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-25","15.1",,,"6.3","2.6"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-26","21.5",,,"6.8","2.7"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-27","1.6",,,"7.6","3.1"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-28","49.0",,,"4.6","0.2"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-29","18.3",,,"8.3","2.4"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-30","0.0",,,"5.1","-1.0"
"NOE00110653","BERGEN FLESLAND, NO","2022-01-31","4.6",,,"1.0","-0.9"
"NOE00110653","BERGEN FLESLAND, NO","2022-02-01","8.7",,,"5.9","-1.8"
"NOE00110653","BERGEN FLESLAND, NO","2022-02-02","5.9",,,"5.6","-0.3"
"NOE00110653","BERGEN FLESLAND, NO","2022-02-03","17.1",,,"6.3","-0.1"
"NOE00110653","BERGEN FLESLAND, NO","2022-02-04","10.3",,,"7.0","1.2"
"NOE00110653","BERGEN FLESLAND, NO","2022-02-05","12.5",,,"5.7","0.3"
"NOE00110653","BERGEN FLESLAND, NO","2022-02-06","7.1",,,"5.4","0.3"
"NOE00110653","BERGEN FLESLAND, NO","2022-02-07","22.7",,,"5.0","0.2"
"NOE00110653","BERGEN FLESLAND, NO","2022-02-08","6.0",,,"7.0","1.5"
"NOE00110653","BERGEN FLESLAND, NO","2022-02-09","5.6",,,"6.3","1.6"
